Well,API #,Stage,Crew,Start Date,Start Time,End Date,End Time,When  (Except Pumping),Party,Reason,Comments,TimeInMin,
Briscoe Catarina South 29 HA,42-127-38276,,L1,2/21/20,17:47,2/21/20,18:00,Between Stages,Operating,Maintenance-Scheduled ,"DV PCs restarted; FP22 packing hole 5; Pulling out FP16, FP31, FP37, FP21, FP23.",13,
Briscoe Catarina South 29 HA,42-127-38276,,L2,2/21/20,18:00,2/21/20,19:47,Between Stages,Operating,Maintenance-Scheduled ,,107,
Briscoe Catarina South 29 HA,42-127-38276,,L2,2/21/20,19:47,2/21/20,20:00,Between Stages,NPT_Operations,Pump Maintenance,Finishing pump maint.,13,
Briscoe Catarina South 29 HA,42-127-38276,,L2,2/21/20,20:00,2/21/20,20:12,Between Stages,Operating,Prime and Test,Leak on needle valve,12,
Briscoe Catarina South 29 HA,42-127-38276,,L2,2/21/20,20:12,2/21/20,20:19,Between Stages,NPT_Operations,Iron,Fixing leak,7,
Briscoe Catarina South 29 HA,42-127-38276,,L2,2/21/20,20:19,2/21/20,20:27,Between Stages,Operating,Prime and Test,,8,
Briscoe Catarina South 29 HA,42-127-38276,11,L2,2/21/20,20:27,2/21/20,22:48,,Operating,Pumping,FP79 low def; Ran sweep during stage due to pressure. Left 1 load in silo,141,
Briscoe Catarina South 29 HB,42-127-38277,,L2,2/21/20,22:48,2/21/20,23:05,Between Stages,Operating,Well Swap,,17,
Briscoe Catarina South 29 HB,42-127-38277,11,L2,2/21/20,23:05,2/22/20,1:26,,Operating,Pumping,Cut screws at 1 ppg and flushed well due to pressure increased. Kicked on backup FR. All prop placed ,141,
Briscoe Catarina South 29 HC,42-127-38278,,L2,2/22/20,1:26,2/22/20,1:43,Between Stages,Operating,Well Swap,,17,
Briscoe Catarina South 29 HC,42-127-38278,11,L2,2/22/20,1:43,2/22/20,3:49,,Operating,Pumping,"FP47 spot check, FP20 v/s. All prop placed, good stage",126,
Briscoe Catarina South 29 HA,42-127-38276,,L2,2/22/20,3:49,2/22/20,4:07,Between Stages,Operating,Well Swap,,18,
Briscoe Catarina South 29 HA,42-127-38276,12,L2,2/22/20,4:07,2/22/20,6:00,,Operating,Pumping,FP40 v/s.,113,
Briscoe Catarina South 29 HA,42-127-38276,12,L1,2/22/20,6:00,2/22/20,6:09,,Operating,Pumping,Good stage.,9,
Briscoe Catarina South 29 HB,42-127-38277,,L1,2/22/20,6:09,2/22/20,6:31,Between Stages,Operating,Well Swap,,22,
Briscoe Catarina South 29 HB,42-127-38277,12,L1,2/22/20,6:31,2/22/20,8:34,,Operating,Pumping,"No problems, good stage.",123,
Briscoe Catarina South 29 HC,42-127-38278,,L1,2/22/20,8:34,2/22/20,8:50,Between Stages,Operating,Well Swap,,16,
Briscoe Catarina South 29 HC,42-127-38278,12,L1,2/22/20,8:50,2/22/20,10:57,,Operating,Pumping,"FP79 v/s; a small hole was spotted on the discharge manifold of the blender, going to finish the stage while keeping an eye on the hole.",127,
Briscoe Catarina South 29 HA,42-127-38276,,L1,2/22/20,10:57,2/22/20,12:57,Between Stages,Operating,Maintenance-Scheduled ,"DV PCs restarted; Swapping out FP79, FP40, FP47, and FP20 with FP31, FP37, FP8, FP21. Tieing in FP23. Swapping from BL6 to BL4. When starting to prime a pin hole was noticed in the suction side of FP59 so this pump was bull plugged and pulled out.",120,
Briscoe Catarina South 29 HA,42-127-38276,,L1,2/22/20,12:57,2/22/20,13:12,Between Stages,Operating,Prime and Test,,15,
Briscoe Catarina South 29 HA,42-127-38276,13,L1,2/22/20,13:12,2/22/20,13:31,,Operating,Pumping,Pumps were reading low suction pressure at 50bpm. Shutdown to make sure none of the discharge hoses on the blender are sanded off.,19,
Briscoe Catarina South 29 HA,42-127-38276,,L1,2/22/20,13:31,2/22/20,13:35,During Stage,NPT_Operations,Hoses,Replacing discharge hose on blender.,4,
Briscoe Catarina South 29 HA,42-127-38276,13,L1,2/22/20,13:35,2/22/20,15:27,,Operating,Pumping,"All proppant placed, good stage.",112,
Briscoe Catarina South 29 HB,42-127-38277,,L1,2/22/20,15:27,2/22/20,15:51,Between Stages,Operating,Well Swap,,24,
Briscoe Catarina South 29 HB,42-127-38277,13,L1,2/22/20,15:51,2/22/20,17:56,,Operating,Pumping,FP21 packing hole 3; Good stage,125,
Briscoe Catarina South 29 HC,42-127-38278,,L1,2/22/20,17:56,2/22/20,18:00,Between Stages,Operating,Well Swap,,4,
Briscoe Catarina South 29 HC,42-127-38278,,L2,2/22/20,18:00,2/22/20,18:12,Between Stages,Operating,Well Swap,Shift change,12,
Briscoe Catarina South 29 HC,42-127-38278,13,L2,2/22/20,18:12,2/22/20,20:16,,Operating,Pumping,"No problems, good stage.",124,
Briscoe Catarina South 29 HA,42-127-38276,,L2,2/22/20,20:16,2/22/20,20:31,Between Stages,Operating,Well Swap,,15,
Briscoe Catarina South 29 HA,42-127-38276,14,L2,2/22/20,20:31,2/22/20,22:33,,Operating,Pumping,"FP23 d-ring hole 1, FP28 v/s; All prop placed",122,
Briscoe Catarina South 29 HB,42-127-38277,,L2,2/22/20,22:33,2/22/20,22:53,Between Stages,Operating,Well Swap,,20,
Briscoe Catarina South 29 HB,42-127-38277,14,L2,2/22/20,22:53,2/23/20,0:54,,Operating,Pumping,FP23 d-ring hole 1 again.,121,
Briscoe Catarina South 29 HC,42-127-38278,,L2,2/23/20,0:54,2/23/20,1:10,Between Stages,Operating,Well Swap,,16,
Briscoe Catarina South 29 HC,42-127-38278,14,L2,2/23/20,1:10,2/23/20,3:12,,Operating,Pumping,,122,
Briscoe Catarina South 29 HA,42-127-38276,,L2,2/23/20,3:12,2/23/20,4:11,Between Stages,Operating,Maintenance-Scheduled ,"Restarted DV PC's. Swapped out FP21 and FP28. Packing on FP31, d-ring FP23.",59,
Briscoe Catarina South 29 HA,42-127-38276,,L2,2/23/20,4:11,2/23/20,4:27,Between Stages,Operating,Prime and Test,,16,
Briscoe Catarina South 29 HA,42-127-38276,15,L2,2/23/20,4:27,2/23/20,6:00,,Operating,Pumping,FP23 d-ring hole 3,93,
Briscoe Catarina South 29 HA,42-127-38276,15,L1,2/23/20,6:00,2/23/20,6:29,,Operating,Pumping,Good stage.,29,
Briscoe Catarina South 29 HB,42-127-38277,,L1,2/23/20,6:29,2/23/20,6:48,Between Stages,Operating,Well Swap,,19,
Briscoe Catarina South 29 HB,42-127-38277,15,L1,2/23/20,6:48,2/23/20,8:56,,Operating,Pumping,FP29 v/s; good stage.,128,
Briscoe Catarina South 29 HC,42-127-38278,,L1,2/23/20,8:56,2/23/20,9:11,Between Stages,Operating,Well Swap,,15,
Briscoe Catarina South 29 HC,42-127-38278,15,L1,2/23/20,9:11,2/23/20,11:17,,Operating,Pumping,FP1 v/s; good stage.,126,
Briscoe Catarina South 29 HA,42-127-38276,,L1,2/23/20,11:17,2/23/20,11:35,Between Stages,Operating,Well Swap,,18,
Briscoe Catarina South 29 HA,42-127-38276,16,L1,2/23/20,11:35,2/23/20,13:40,,Operating,Pumping,"No problems, good stage.",125,
Briscoe Catarina South 29 HB,42-127-38277,,L1,2/23/20,13:40,2/23/20,13:58,Between Stages,Operating,Well Swap,,18,
Briscoe Catarina South 29 HB,42-127-38277,16,L1,2/23/20,13:58,2/23/20,16:03,,Operating,Pumping,FP40 packing hole 1; FP22 v/s; FP3 v/s;,125,
Briscoe Catarina South 29 HC,42-127-38278,,L1,2/23/20,16:03,2/23/20,18:00,Between Stages,Operating,Maintenance-Scheduled ,"DV PCs restarted; Swapping out FP22, FP3, FP1, FP29; FP23 Dring hole 3; FP40 packing hole 1; FP5 packing hole 2; FP37 Dring holes 2, 4, & 5; FP8 Dring hole 2.",117,
Briscoe Catarina South 29 HC,42-127-38278,,L2,2/23/20,18:00,2/23/20,18:21,Between Stages,Operating,Prime and Test, Shift change;,21,
Briscoe Catarina South 29 HC,42-127-38278,16,L2,2/23/20,18:21,2/23/20,20:25,,Operating,Pumping,"FP79 low def, FP5 packing hole 2. All prop placed",124,
Briscoe Catarina South 29 HC,42-127-38278,,L2,2/23/20,20:25,2/23/20,20:45,Between Stages,Operating,Well Swap,,20,
Briscoe Catarina South 29 HA,42-127-38276,,L2,2/23/20,20:45,2/23/20,21:01,Between Stages,NPT_Wireline,Stuck,Wireline stuck on HB well. Sent a 5 gal fr slug with pumpdown,16,
Briscoe Catarina South 29 HA,42-127-38276,17,L2,2/23/20,21:01,2/23/20,23:05,,Operating,Pumping,,124,
Briscoe Catarina South 29 HB,42-127-38277,,L2,2/23/20,23:05,2/24/20,3:35,Between Stages,NPT_Wireline,Stuck,Wireline trying to get unstuck/ got unstuck. ,270,
Briscoe Catarina South 29 HB,42-127-38277,,L2,2/24/20,3:35,2/24/20,3:47,Between Stages,Operating,Prime and Test,,12,
Briscoe Catarina South 29 HB,42-127-38277,,L2,2/24/20,3:47,2/24/20,4:38,Between Stages,NPT_Wireline,Re-head-Unscheduled ,Wireline reheading,51,
Briscoe Catarina South 29 HB,42-127-38277,17,L2,2/24/20,4:38,2/24/20,6:00,,Operating,Pumping,,82,
Briscoe Catarina South 29 HB,42-127-38277,17,L1,2/24/20,6:00,2/24/20,6:50,,Operating,Pumping,Shift change; Good stage.,50,
Briscoe Catarina South 29 HC,42-127-38278,,L1,2/24/20,6:50,2/24/20,7:10,Between Stages,Operating,Well Swap,,20,
Briscoe Catarina South 29 HC,42-127-38278,17,L1,2/24/20,7:10,2/24/20,9:20,,Operating,Pumping,FP59 v/s; FP24 v/s; Good stage.,130,
Briscoe Catarina South 29 HA,42-127-38276,,L1,2/24/20,9:20,2/24/20,9:35,Between Stages,Operating,Well Swap,,15,
Briscoe Catarina South 29 HA,42-127-38276,18,L1,2/24/20,9:35,2/24/20,11:43,,Operating,Pumping,FP55 V/S; good stage,128,
Briscoe Catarina South 29 HB,42-127-38277,,L1,2/24/20,11:43,2/24/20,11:58,Between Stages,Operating,Well Swap,,15,
Briscoe Catarina South 29 HB,42-127-38277,18,L1,2/24/20,11:58,2/24/20,13:42,,Operating,Pumping,"FP47 v/s; 2 holes spotted on discharge manifold of BL4, having to flush the well and swap blenders.",104,
Briscoe Catarina South 29 HB,42-127-38277,,L1,2/24/20,13:42,2/24/20,14:08,During Stage,NPT_Mechanics,Blender,Swapping from BL4 to BL6,26,
Briscoe Catarina South 29 HB,42-127-38277,18,L1,2/24/20,14:08,2/24/20,14:56,,Operating,Pumping,All proppant placed.,48,
Briscoe Catarina South 29 HC,42-127-38278,,L1,2/24/20,14:56,2/24/20,15:13,Between Stages,Operating,Well Swap,,17,
Briscoe Catarina South 29 HC,42-127-38278,18,L1,2/24/20,15:13,2/24/20,17:22,,Operating,Pumping,"No problems, good stage.",129,
Briscoe Catarina South 29 HA,42-127-38276,,L1,2/24/20,17:22,2/24/20,17:38,Between Stages,Operating,Well Swap,,16,
Briscoe Catarina South 29 HA,42-127-38276,19,L1,2/24/20,17:38,2/24/20,18:00,,Operating,Pumping,,22,
Briscoe Catarina South 29 HA,42-127-38276,19,L2,2/24/20,18:00,2/24/20,19:50,,Operating,Pumping,FP23 d-ring hole 3,110,
Briscoe Catarina South 29 HB,42-127-38277,,L2,2/24/20,19:50,2/24/20,21:10,Between Stages,Operating,Maintenance-Scheduled ,"Restarted DV PC's/backside equipment. Swapped out FP59, FP24, FP55, FP47 for FP40,FP3, FP22, and FP29. D-ring on FP23",80,
Briscoe Catarina South 29 HB,42-127-38277,,L2,2/24/20,21:10,2/24/20,21:25,Between Stages,Operating,Prime and Test,,15,
Briscoe Catarina South 29 HB,42-127-38277,19,L2,2/24/20,21:25,2/24/20,23:28,,Operating,Pumping,"No problems, good stage.",123,
Briscoe Catarina South 29 HC,42-127-38278,,L2,2/24/20,23:28,2/24/20,23:46,Between Stages,Operating,Well Swap,,18,
Briscoe Catarina South 29 HC,42-127-38278,19,L2,2/24/20,23:46,2/25/20,1:49,,Operating,Pumping,"FP31  packing hole 2, FP23 d-ring hole 3, FP60. All prop placed",123,
Briscoe Catarina South 29 HA,42-127-38276,,L2,2/25/20,1:49,2/25/20,2:04,Between Stages,Operating,Well Swap,,15,
Briscoe Catarina South 29 HA,42-127-38276,20,L2,2/25/20,2:04,2/25/20,4:11,,Operating,Pumping,"No ball seat, All prop placed, good stage",127,
Briscoe Catarina South 29 HB,42-127-38277,,L2,2/25/20,4:11,2/25/20,4:26,Between Stages,Operating,Well Swap,,15,
Briscoe Catarina South 29 HB,42-127-38277,20,L2,2/25/20,4:26,2/25/20,6:00,,Operating,Pumping,FP27 v/s,94,
Briscoe Catarina South 29 HB,42-127-38277,20,L1,2/25/20,6:00,2/25/20,6:27,,Operating,Pumping,"shift change; All prop placed, good stage",27,
Briscoe Catarina South 29 HC,42-127-38278,,L1,2/25/20,6:27,2/25/20,6:45,Between Stages,Operating,Well Swap,,18,
Briscoe Catarina South 29 HC,42-127-38278,20,L1,2/25/20,6:45,2/25/20,8:48,,Operating,Pumping,"All prop placed, good stage",123,
Briscoe Catarina South 29 HA,42-127-38276,,L1,2/25/20,8:48,2/25/20,9:04,Between Stages,Operating,Well Swap,,16,
Briscoe Catarina South 29 HA,42-127-38276,21,L1,2/25/20,9:04,2/25/20,11:09,,Operating,Pumping,"FP3 D-ring hole 2; All prop placed, good stage",125,
Briscoe Catarina South 29 HB,42-127-38277,,L1,2/25/20,11:09,2/25/20,12:48,Between Stages,Operating,Maintenance-Scheduled ,Restarted DV PC's/backside equipment. FP27 v/s; FP31 packing hole 2; FP23 d-ring hole 3; FP3 D-ring hole 2; FP60 v/s,99,
Briscoe Catarina South 29 HB,42-127-38277,,L1,2/25/20,12:48,2/25/20,13:00,Between Stages,Operating,Prime and Test,,12,
Briscoe Catarina South 29 HB,42-127-38277,21,L1,2/25/20,13:00,2/25/20,15:03,,Operating,Pumping,"FP v/s; FP47 v/s; All prop placed, good stage",123,
Briscoe Catarina South 29 HC,42-127-38278,,L1,2/25/20,15:03,2/25/20,15:21,Between Stages,Operating,Well Swap,,18,
Briscoe Catarina South 29 HC,42-127-38278,21,L1,2/25/20,15:21,2/25/20,17:26,,Operating,Pumping,"All prop placed, good stage",125,
Briscoe Catarina South 29 HA,42-127-38276,,L1,2/25/20,17:26,2/25/20,17:39,Between Stages,Operating,Well Swap,,13,
Briscoe Catarina South 29 HA,42-127-38276,22,L1,2/25/20,17:39,2/25/20,18:00,,Operating,Pumping,,21,
Briscoe Catarina South 29 HA,42-127-38276,22,L2,2/25/20,18:00,2/25/20,19:01,,Operating,Pumping,Pin hole on BL6 was discover during 1.25 ppg. Cut sand and cleaned screws; flushed well.,61,
Briscoe Catarina South 29 HA,42-127-38276,,L2,2/25/20,19:01,2/25/20,19:30,During Stage,NPT_Mechanics,Blender,Swapping from BL6 to BL4,29,
Briscoe Catarina South 29 HA,42-127-38276,22,L2,2/25/20,19:30,2/25/20,20:37,,Operating,Pumping,resumed pumping; All prop placed. No time tier charge due to blender issue,67,
Briscoe Catarina South 29 HB,42-127-38277,,L2,2/25/20,20:37,2/25/20,20:57,Between Stages,Operating,Well Swap,,20,
Briscoe Catarina South 29 HB,42-127-38277,,L2,2/25/20,20:57,2/25/20,21:06,Between Stages,Operating,Well Swap,Waiting on wireline to get on the well.,9,
Briscoe Catarina South 29 HB,42-127-38277,22,L2,2/25/20,21:06,2/25/20,23:03,,Operating,Pumping,"Ball in place, All prop placed good stage.",117,
Briscoe Catarina South 29 HC,42-127-38278,,L2,2/25/20,23:03,2/25/20,23:18,Between Stages,Operating,Well Swap,,15,
Briscoe Catarina South 29 HC,42-127-38278,22,L2,2/25/20,23:18,2/26/20,1:18,,Operating,Pumping,"No problems, good stage.",120,
Briscoe Catarina South 29 HA,42-127-38276,,L2,2/26/20,1:18,2/26/20,1:33,Between Stages,Operating,Well Swap,,15,
Briscoe Catarina South 29 HA,42-127-38276,23,L2,2/26/20,1:33,2/26/20,3:32,,Operating,Pumping,"FP5 packing hole 2, All prop placed good stage",119,
Briscoe Catarina South 29 HB,42-127-38277,,L2,2/26/20,3:32,2/26/20,4:48,Between Stages,Operating,Maintenance-Scheduled ,"Restarted DV PC's/ backside equipment. Swap out FP20, packing on FP5, Spot check FP47",76,
Briscoe Catarina South 29 HB,42-127-38277,,L2,2/26/20,4:48,2/26/20,5:03,Between Stages,Operating,Prime and Test,,15,
Briscoe Catarina South 29 HB,42-127-38277,23,L2,2/26/20,5:03,2/26/20,6:00,,Operating,Pumping,,57,
Briscoe Catarina South 29 HB,42-127-38277,23,L3,2/26/20,6:00,2/26/20,7:01,,Operating,Pumping,"shift change; FP37 packing hole 5; FP31 packing hole 3; All prop placed, good stage",61,
Briscoe Catarina South 29 HC,42-127-38278,,L3,2/26/20,7:01,2/26/20,7:17,Between Stages,Operating,Well Swap,,16,
Briscoe Catarina South 29 HC,42-127-38278,23,L3,2/26/20,7:17,2/26/20,9:17,,Operating,Pumping,"FP29 V&S; All prop placed, good stage",120,
Briscoe Catarina South 29 HA,42-127-38276,,L3,2/26/20,9:17,2/26/20,9:32,Between Stages,Operating,Well Swap,,15,
Briscoe Catarina South 29 HA,42-127-38276,24,L3,2/26/20,9:32,2/26/20,11:32,,Operating,Pumping,"FP79 packing hole 4; FP28 V&S; All prop placed, good stage",120,
Briscoe Catarina South 29 HB,42-127-38277,,L3,2/26/20,11:32,2/26/20,12:02,Between Stages,Operating,Well Swap,,30,
Briscoe Catarina South 29 HB,42-127-38277,,L3,2/26/20,12:02,2/26/20,12:20,Between Stages,NPT_Operations,Pump Maintenance,swapped FP 29 & FP28 with FP47 & FP12,18,
Briscoe Catarina South 29 HB,42-127-38277,,L3,2/26/20,12:20,2/26/20,12:50,Between Stages,Operating,Prime and Test,,30,
Briscoe Catarina South 29 HB,42-127-38277,,L3,2/26/20,12:50,2/26/20,13:02,Between Stages,NPT_Operations,Iron,"2 chiksan leaks, had to replace them",12,
Briscoe Catarina South 29 HB,42-127-38277,,L3,2/26/20,13:02,2/26/20,13:21,Between Stages,NPT_Operations,Prime and Test,,19,
Briscoe Catarina South 29 HB,42-127-38277,24,L3,2/26/20,13:21,2/26/20,15:23,,Operating,Pumping,"All prop placed, good stage",122,
Briscoe Catarina South 29 HC,42-127-38278,,L3,2/26/20,15:23,2/26/20,15:38,Between Stages,Operating,Well Swap,,15,
Briscoe Catarina South 29 HC,42-127-38278,24,L3,2/26/20,15:38,2/26/20,17:41,,Operating,Pumping,"FP59 V&S; All prop placed, good stage",123,
Briscoe Catarina South 29 HA,42-127-38276,,L3,2/26/20,17:41,2/26/20,17:56,Between Stages,Operating,Well Swap,,15,
Briscoe Catarina South 29 HA,42-127-38276,,L3,2/26/20,17:56,2/26/20,18:00,,Operating,Pumping,,4,
Briscoe Catarina South 29 HA,42-127-38276,25,L2,2/26/20,18:00,2/26/20,20:00,,Operating,Pumping,"Shift change, FP8 power end, FP21 v/s, FP55 spot check",120,
Briscoe Catarina South 29 HB,42-127-38277,,L2,2/26/20,20:00,2/26/20,21:45,Between Stages,Operating,Maintenance-Scheduled ,"Restarted DV PC's/ backside equipment. Swapped out FP21,FP8. Spot checked FP55, packing FP79",105,
Briscoe Catarina South 29 HB,42-127-38277,,L2,2/26/20,21:45,2/26/20,22:02,Between Stages,Operating,Prime and Test,leak on zipper was discovered,17,
Briscoe Catarina South 29 HB,42-127-38277,,L2,2/26/20,22:02,2/26/20,22:46,Between Stages,NPT_Customer,Zipper Manifold,Fixing leak ,44,
Briscoe Catarina South 29 HB,42-127-38277,,L2,2/26/20,22:46,2/26/20,22:58,Between Stages,NPT_Customer,Pressure Test,,12,
Briscoe Catarina South 29 HB,42-127-38277,25,L2,2/26/20,22:58,2/27/20,1:00,,Operating,Pumping,"FP25 v/s, FP20 d-ring hole 3; all prop placed",122,
Briscoe Catarina South 29 HC,42-127-38278,,L2,2/27/20,1:00,2/27/20,1:15,Between Stages,Operating,Well Swap,,15,
Briscoe Catarina South 29 HC,42-127-38278,25,L2,2/27/20,1:15,2/27/20,3:13,,Operating,Pumping,All prop placed,118,
Briscoe Catarina South 29 HA,42-127-38276,,L2,2/27/20,3:13,2/27/20,3:29,Between Stages,Operating,Well Swap,,16,
Briscoe Catarina South 29 HA,42-127-38276,26,L2,2/27/20,3:29,2/27/20,5:26,,Operating,Pumping,"FP29 v/s; good stage, FP15 packing hole 1; All prop placed",117,
Briscoe Catarina South 29 HB,42-127-38277,,L2,2/27/20,5:26,2/27/20,5:42,Between Stages,Operating,Well Swap,,16,
Briscoe Catarina South 29 HB,42-127-38277,26,L2,2/27/20,5:42,2/27/20,6:00,,Operating,Pumping,,18,
Briscoe Catarina South 29 HB,42-127-38277,26,L3,2/27/20,6:00,2/27/20,7:47,,Operating,Pumping,"shift change; FP79 V&S; All prop placed, good stage",107,
Briscoe Catarina South 29 HC,42-127-38278,,L3,2/27/20,7:47,2/27/20,9:47,Between Stages,Operating,Maintenance-Scheduled ,"Restarted DV PC's/ backside equipment. FP25 v/s, FP20 d-ring hole 3; FP29 v/s; good stage, FP15 packing hole 1; FP79 V&S; ",120,
Briscoe Catarina South 29 HC,42-127-38278,,L3,2/27/20,9:47,2/27/20,10:15,Between Stages,Operating,Prime and Test,,28,
Briscoe Catarina South 29 HC,42-127-38278,26,L3,2/27/20,10:15,2/27/20,12:14,,Operating,Pumping,"FP59 V&S; FP55 V&S; All prop placed, good stage",119,
Briscoe Catarina South 29 HA,42-127-38276,,L3,2/27/20,12:14,2/27/20,12:29,Between Stages,Operating,Well Swap,,15,
Briscoe Catarina South 29 HA,42-127-38276,27,L3,2/27/20,12:29,2/27/20,14:33,,Operating,Pumping,"FP15 packing hole 5; All prop placed, good stage",124,
Briscoe Catarina South 29 HB,42-127-38277,,L3,2/27/20,14:33,2/27/20,14:55,Between Stages,Operating,Well Swap,,22,
Briscoe Catarina South 29 HB,42-127-38277,,L3,2/27/20,14:55,2/27/20,15:10,Between Stages,NPT_Operations,Pump Maintenance,added pump FP29 back inline,15,
Briscoe Catarina South 29 HB,42-127-38277,,L3,2/27/20,15:10,2/27/20,15:29,Between Stages,Operating,Prime and Test,,19,
Briscoe Catarina South 29 HB,42-127-38277,27,L3,2/27/20,15:29,2/27/20,17:29,,Operating,Pumping,"All prop placed, good stage",120,
Briscoe Catarina South 29 HC,42-127-38278,,L3,2/27/20,17:29,2/27/20,17:43,Between Stages,Operating,Well Swap,,14,
Briscoe Catarina South 29 HC,42-127-38278,27,L3,2/27/20,17:43,2/27/20,18:00,,Operating,Pumping,,17,
Briscoe Catarina South 29 HC,42-127-38278,27,L2,2/27/20,18:00,2/27/20,19:47,,Operating,Pumping,"FP32 v/s, FP12 spot check, all prop placed. ",107,
Briscoe Catarina South 29 HA,42-127-38276,,L2,2/27/20,19:47,2/27/20,21:07,Between Stages,Operating,Maintenance-Scheduled ,"Restarted DV PC's/backside equipment. Swapped to BL6. Pulled out FP32 for FP22, FP12 for FP16, tied in FP25, FP15, Fp31, and FP24. ",80,
Briscoe Catarina South 29 HA,42-127-38276,,L2,2/27/20,21:07,2/27/20,21:21,Between Stages,Operating,Prime and Test,,14,
Briscoe Catarina South 29 HA,42-127-38276,28,L2,2/27/20,21:21,2/27/20,21:42,,Operating,Pumping,"while trying to pick up rate, boost pressure dropped to 40 psi with 5 pumps in 1 st gear.  Displaced acid at 10 bpm.",21,
Briscoe Catarina South 29 HA,42-127-38276,,L2,2/27/20,21:42,2/27/20,23:02,During Stage,NPT_Mechanics,Blender,Switching from BL6 to BL4. Pin for discharge crossover valve was broken. Had to replace a flange for discharge hose port on BL4.,80,
Briscoe Catarina South 29 HA,42-127-38276,28,L2,2/27/20,23:02,2/28/20,1:02,,Operating,Pumping,"FP16, FP27, FP20, FP31  needs spot check. Not able to reach desired density due to blenders being spotted to far apart and mesh in hopper not being cleaned out. No time tier charge due.",120,
Briscoe Catarina South 29 HB,42-127-38277,,L2,2/28/20,1:02,2/28/20,1:23,Between Stages,Operating,Well Swap,,21,
Briscoe Catarina South 29 HB,42-127-38277,28,L2,2/28/20,1:23,2/28/20,3:23,,Operating,Pumping,"No problems, good stage.",120,
Briscoe Catarina South 29 HC,42-127-38278,,L2,2/28/20,3:23,2/28/20,3:38,Between Stages,Operating,Well Swap,,15,
Briscoe Catarina South 29 HC,42-127-38278,28,L2,2/28/20,3:38,2/28/20,5:43,,Operating,Pumping,"FP22 packing hole 3, FP60 spot check. All prop placed",125,
Briscoe Catarina South 29 HA,42-127-38276,,L2,2/28/20,5:43,2/28/20,6:00,Between Stages,Operating,Well Swap,,17,
Briscoe Catarina South 29 HA,42-127-38276,,L3,2/28/20,6:00,2/28/20,6:01,Between Stages,Operating,Well Swap,shift change; ,1,
Briscoe Catarina South 29 HA,42-127-38276,29,L3,2/28/20,6:01,2/28/20,8:04,,Operating,Pumping,"All prop placed, good stage",123,
Briscoe Catarina South 29 HB,42-127-38277,,L3,2/28/20,8:04,2/28/20,9:40,Between Stages,Operating,Maintenance-Scheduled ,"Restarted DV PC's/backside equipment. FP16,FP31,FP20,FP60 V&S; FP22 packing hole 3;",96,
Briscoe Catarina South 29 HB,42-127-38277,,L3,2/28/20,9:40,2/28/20,9:51,Between Stages,Operating,Prime and Test,,11,
Briscoe Catarina South 29 HB,42-127-38277,29,L3,2/28/20,9:51,2/28/20,11:54,,Operating,Pumping,"FP29 V&S; FP7 V&S; FP12 V&S; FP23 V&S; All prop placed, good stage",123,
Briscoe Catarina South 29 HC,42-127-38278,,L3,2/28/20,11:54,2/28/20,12:10,Between Stages,Operating,Well Swap,,16,
Briscoe Catarina South 29 HC,42-127-38278,29,L3,2/28/20,12:10,2/28/20,14:11,,Operating,Pumping,"FP74 V&S; All prop placed, good stage",121,
Briscoe Catarina South 29 HA,42-127-38276,,L3,2/28/20,14:11,2/28/20,14:26,Between Stages,Operating,Well Swap,,15,
Briscoe Catarina South 29 HA,42-127-38276,30,L3,2/28/20,14:26,2/28/20,16:32,,Operating,Pumping,"ran a sweep per consultant due to high pressure; FP24 packing hole 1;  All prop placed, good stage",126,
Briscoe Catarina South 29 HB,42-127-38277,,L3,2/28/20,16:32,2/28/20,18:00,Between Stages,Operating,Maintenance-Scheduled ,"swapping out FP29,FP23,FP15 with FP12,FP16,FP32; FP24 packing hole 1; FP60,FP20 V&S; FP22 packing hole 3",88,
Briscoe Catarina South 29 HB,42-127-38277,,L2,2/28/20,18:00,2/28/20,18:20,Between Stages,Operating,Prime and Test,,20,
Briscoe Catarina South 29 HB,42-127-38277,30,L2,2/28/20,18:20,2/28/20,20:20,,Operating,Pumping,"FP25 v/s, All prop placed",120,
Briscoe Catarina South 29 HC,42-127-38278,,L2,2/28/20,20:20,2/28/20,20:37,Between Stages,Operating,Well Swap,,17,
Briscoe Catarina South 29 HC,42-127-38278,30,L2,2/28/20,20:37,2/28/20,22:36,,Operating,Pumping,"No problems, good stage.",119,
Briscoe Catarina South 29 HA,42-127-38276,,L2,2/28/20,22:36,2/28/20,22:52,Between Stages,Operating,Well Swap,,16,
Briscoe Catarina South 29 HA,42-127-38276,31,L2,2/28/20,22:52,2/29/20,0:50,,Operating,Pumping,"No problems, good stage.",118,
Briscoe Catarina South 29 HB,42-127-38277,,L2,2/29/20,0:50,2/29/20,1:43,Between Stages,Operating,Maintenance-Scheduled ,"Restarted DV PC's/ backside equipment. Swapped FP25,FP1. ",53,
Briscoe Catarina South 29 HB,42-127-38277,,L2,2/29/20,1:43,2/29/20,1:58,Between Stages,Operating,Prime and Test,,15,
Briscoe Catarina South 29 HB,42-127-38277,31,L2,2/29/20,1:58,2/29/20,4:05,,Operating,Pumping,"FP24 v/s and d-ring hole 3, FP12 v/s,FP3 v/s, All prop placed.",127,
Briscoe Catarina South 29 HC,42-127-38278,,L2,2/29/20,4:05,2/29/20,4:21,Between Stages,Operating,Well Swap,,16,
